text,label
Security Alert: We detected unusual activity on your account. Verify your password immediately at http://verify-account-security.info,Phishing
"ATTENTION! Dear customer, your invoice is attached. Please review the payment details urgently. http://billing-update-now.com",Phishing
"FYI: Hey John, thanks for the update on the project. Let's catch up later this week.",Safe
Please find attached the Q3 financial report for your review. Let me know if you have any questions.,Safe
"Dear customer, your invoice is attached. Please review the payment details urgently. http://billing-update-now.com",Phishing
ATTENTION! Action Required: Your password expires in 24 hours. Update it now or lose access: http://password-reset-portal.org,Phishing
"Dear customer, your invoice is attached. Please review the payment details urgently. http://billing-update-now.com",Phishing
ATTENTION! Action Required: Your password expires in 24 hours. Update it now or lose access: http://password-reset-portal.org,Phishing
Security Alert: We detected unusual activity on your account. Verify your password immediately at http://verify-account-security.info,Phishing
"Hey John, thanks for the update on the project. Let's catch up later this week.",Safe
"FYI: Hey John, thanks for the update on the project. Let's catch up later this week.",Safe
Security Alert: We detected unusual activity on your account. Verify your password immediately at http://verify-account-security.info,Phishing
FYI: Happy Birthday! Hope you have a wonderful day. Best wishes from all of us.,Safe
FYI: Please find attached the Q3 financial report for your review. Let me know if you have any questions.,Safe
FYI: Your recent order #12345 has been shipped. You can track your package using the tracking link on our website.,Safe
"Hey John, thanks for the update on the project. Let's catch up later this week.",Safe
Please find attached the Q3 financial report for your review. Let me know if you have any questions.,Safe
ATTENTION! Action Required: Your password expires in 24 hours. Update it now or lose access: http://password-reset-portal.org,Phishing
URGENT: Your account has been compromised. Please click here to login and verify your identity: http://secure-login-update.com,Phishing
ATTENTION! You have won a $1000 gift card! Click here to claim your prize now: http://claim-your-prize.net/win,Phishing
FYI: Your recent order #12345 has been shipped. You can track your package using the tracking link on our website.,Safe
"Dear customer, your invoice is attached. Please review the payment details urgently. http://billing-update-now.com",Phishing
ATTENTION! Security Alert: We detected unusual activity on your account. Verify your password immediately at http://verify-account-security.info,Phishing
ATTENTION! URGENT: Your account has been compromised. Please click here to login and verify your identity: http://secure-login-update.com,Phishing
Action Required: Your password expires in 24 hours. Update it now or lose access: http://password-reset-portal.org,Phishing
You have won a $1000 gift card! Click here to claim your prize now: http://claim-your-prize.net/win,Phishing
ATTENTION! You have won a $1000 gift card! Click here to claim your prize now: http://claim-your-prize.net/win,Phishing
Happy Birthday! Hope you have a wonderful day. Best wishes from all of us.,Safe
ATTENTION! You have won a $1000 gift card! Click here to claim your prize now: http://claim-your-prize.net/win,Phishing
URGENT: Your account has been compromised. Please click here to login and verify your identity: http://secure-login-update.com,Phishing
Action Required: Your password expires in 24 hours. Update it now or lose access: http://password-reset-portal.org,Phishing
"Dear customer, your invoice is attached. Please review the payment details urgently. http://billing-update-now.com",Phishing
"FYI: Hey John, thanks for the update on the project. Let's catch up later this week.",Safe
"FYI: Hey John, thanks for the update on the project. Let's catch up later this week.",Safe
"ATTENTION! Dear customer, your invoice is attached. Please review the payment details urgently. http://billing-update-now.com",Phishing
